"Code","Gene","Header","Species","Taxonomy","Classification"
"Nvect","NKL","Nvect_Q0N4G2_NK_like_20_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913X7U5_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8HSK4_Homeobox_protein_HMX3_A_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XQD2_Uncharacterized_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8GYI3_Retinal_homeobox_protein_Rx1_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6UQ05_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RK17_Homeobox_protein_Nkx_3_2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RYF6_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6TNM5_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8IKT4_Homeobox_protein_BarH_like_1","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RVR3_Homeobox_protein_EMX1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U1L8_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913Y2W4_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8IDL4_Homeobox_protein_EMX2_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SGR9_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RYQ0_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4SBR8_Homeobox_protein_HMX3","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6T6Y5_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4SHQ6_NK1_transcription_factor_related_protein_2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4SI39_BarH_like_1_homeobox_protein","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SBL6_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XXW9_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8H9D0_Homeobox_protein_MSX_2_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Hmagn","NKL","Hmagn_3462","Hydra magnipapillata","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_377","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RRR7_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XMY2_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8GZU6_Homeobox_protein_Nkx_3_1_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_27732","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_16098","Aurelia aurita","Cnidaria","Non_Bilateria"
"Hmagn","NKL","Hmagn_19407","Hydra magnipapillata","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M6DP92_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_652","Aurelia aurita","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_17853","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5X4L5_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RFR4_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7S8C1_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7T5P9_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_15647","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Rescu","NKL","Rescu_7825","Rhopilema esculentum","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_27653","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7S0N4_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8GZJ5_Transcription_factor_LBX1_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913X718_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U2V3_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4SN51_Transcription_factor_LBX1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SQ94_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Hmagn","NKL","Hmagn_24793","Hydra magnipapillata","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5WWY7_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Hechi","NKL","Hechi_13075","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8I8N9_Homeobox_protein_Nkx_2_5_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RH09_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RY67_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SUX2_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6T9E2_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S2E2_Transcription_factor_LBX2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6UWX0_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4SP45_Homeobox_protein_unc_4","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XRU1_Uncharacterized_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8IK33_Homeobox_protein_unc_4_homolog","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6UT86_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8I539_Hematopoietically_expressed_homeobox_protein_hhex_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S0W5_Hematopoietically_expressed_homeobox_protein_hhex","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_19171","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6T5B4_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RM58_Transcription_factor_LBX1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7S7L1_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913X6Z2_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8H1M9_Homeobox_protein_zampogna_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U2G0_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4SP53_Homeobox_protein_Nkx_3_2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_36931","Aurelia aurita","Cnidaria","Non_Bilateria"
"Hechi","NKL","Hechi_17935","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Hmagn","NKL","Hmagn_7329","Hydra magnipapillata","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5WR86_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RPR7_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8HMA2_Homeobox_protein_DLX_6_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XI33_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6TKG7_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S827_Homeobox_protein_Dlx4a","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Hechi","NKL","Hechi_6745","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S877_Homeobox_protein_not2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6UQF1_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RIH8_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RVG0_Homeobox_protein_EMX1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U1P2_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8IAY8_Homeobox_protein_EMX1_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913Y3E2_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RH67_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6UZ64_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4SAW3_Homeobox_protein_not2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913WSE6_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M6DNS4_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_1344","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_6023","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_6026","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_32925","Aurelia aurita","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_12071","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Hechi","NKL","Hechi_12900","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5XEI8_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_6595","Aurelia aurita","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_15969","Aurelia aurita","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5XB59_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_4091","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RI80_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6USG4_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RZK3_NK1_transcription_factor_related_protein_1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8GZG0_NK1_transcription_factor_related_protein_1_like_isoform_X1","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913X8X1_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SQP7_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XMX4_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8H2M9_Homeobox_protein_XENK_2_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U8H4_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RXD6_Homeobox_protein_Nkx_2_4","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SQP6_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XNI9_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8GZT1_Homeobox_protein_Nkx_2_2a_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U8I7_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S3D8_Homeobox_protein_Nkx_2_2a","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SQP4_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8HAY9_Homeobox_protein_Nkx_2_2a_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913YR50_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U8L8_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S239_Homeobox_protein_Nkx_2_8","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U8Q4_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S3R7_Homeobox_protein_Nkx_2_2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SQP5_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XMU1_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8GZR4_Homeobox_protein_XENK_2_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U8T0_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S3H9_Homeobox_protein_Nkx_2_2a","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Rescu","NKL","Rescu_13699","Rhopilema esculentum","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_2471","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Hmagn","NKL","Hmagn_34064","Hydra magnipapillata","Cnidaria","Non_Bilateria"
"Hmagn","NKL","Hmagn_34065","Hydra magnipapillata","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5WVC3_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_Q7YZD1_NK_4_homeobox_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6U2I4_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4SK85_Homeobox_protein_Nkx_2_5","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8HA32_Homeobox_protein_Nkx_2_5_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913X6T7_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5U2D5_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_7233","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Hechi","NKL","Hechi_16302","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7RG46_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8ITR4_Homeobox_protein_vent1_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5XBE3_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SLZ7_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6UYZ1_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4S6I3_Homeobox_protein_EMX1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913XC05_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8J6G4_Homeobox_protein_ceh_30_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Hechi","NKL","Hechi_16415","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_Q0N4G7_NK_like_15_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6UQV9_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RPJ0_Brain_specific_homeobox_protein_like","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RR36_Homeobox_protein_Nkx_3_2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8HAY1_Homeobox_protein_Nkx_2_5_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913WR77_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_14660","Aurelia aurita","Cnidaria","Non_Bilateria"
"Rescu","NKL","Rescu_5832","Rhopilema esculentum","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_15061","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Hmagn","NKL","Hmagn_19425","Hydra magnipapillata","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_B9V2C6_Dll1_distalless_homeodomain_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Hechi","NKL","Hechi_6851","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_14663","Aurelia aurita","Cnidaria","Non_Bilateria"
"Rescu","NKL","Rescu_5831","Rhopilema esculentum","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6UPP5_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RQI9_Homeobox_protein_MSX_1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913X310_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7S2G9_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Nvect","NKL","Nvect_A7SZI0_Homeobox_domain_containing_protein","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","NKL","Ediap_A0A913X7U0_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8HZT1_Homeobox_protein_Nkx_6_1_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","NKL","Pdami_A0A3M6URS1_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","NKL","Spist_A0A2B4RTN3_Homeobox_protein_Nkx_6_1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5X515_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Chemi","NKL","Chemi_A0A7M5XA73_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Mviru","NKL","Mviru_3738","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Hechi","NKL","Hechi_6049","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Aauri","NKL","Aauri_11108","Aurelia aurita","Cnidaria","Non_Bilateria"
"Rescu","NKL","Rescu_12218","Rhopilema esculentum","Cnidaria","Non_Bilateria"
"Atene","NKL","Atene_A0A6P8JFZ8_Homeobox_protein_DBX2_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Nvect","HOX","Nvect_A7RZT3_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Spist","HOX","Spist_A0A2B4SLE9_Retinal_homeobox_protein_Rx2","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Hechi","HOX","Hechi_17924","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Aauri","HOX","Aauri_6942","Aurelia aurita","Cnidaria","Non_Bilateria"
"Pdami","HOX","Pdami_A0A3M6UPX8_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","HOX","Spist_A0A2B4RQW4_Homeobox_protein_prophet_of_Pit_1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Atene","HOX","Atene_A0A6P8HK05_Homeobox_protein_CDX_1_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Nvect","HOX","Nvect_A7RSY9_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Nvect","HOX","Nvect_A7S0K9_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Pdami","HOX","Pdami_A0A3M6ULU2_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","HOX","Spist_A0A2B4RTC6_DNA_topoisomerase","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Mviru","HOX","Mviru_2444","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Hechi","HOX","Hechi_7061","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Mviru","HOX","Mviru_11830","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Ediap","HOX","Ediap_A0A913X4D6_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","HOX","Atene_A0A6P8IE95_Homeobox_protein_Hox_B4_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","HOX","Pdami_A0A3M6TLR3_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Aauri","HOX","Aauri_31833","Aurelia aurita","Cnidaria","Non_Bilateria"
"Rescu","HOX","Rescu_9860","Rhopilema esculentum","Cnidaria","Non_Bilateria"
"Mviru","HOX","Mviru_26052","Morbakka virulenta","Cnidaria","Non_Bilateria"
"Chemi","HOX","Chemi_A0A7M5WUD1_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Hechi","HOX","Hechi_4878","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Hechi","HOX","Hechi_27335","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Chemi","HOX","Chemi_A0A7M5XGS8_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Spist","HOX","Spist_A0A2B4SA69_Nuclear_pore_complex_protein_Nup133","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Spist","HOX","Spist_A0A2B4SWE0_Homeobox_protein_Hox_D1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Chemi","HOX","Chemi_A0A7M6DRA8_Homeobox_domain_containing_protein","Clytia hemisphaerica","Cnidaria","Non_Bilateria"
"Hechi","HOX","Hechi_7113","Hydractinia echinata","Cnidaria","Non_Bilateria"
"Pdami","HOX","Pdami_A0A3M6TLL5_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Nvect","HOX","Nvect_A7S222_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","HOX","Ediap_A0A913YC25_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","HOX","Atene_A0A6P8IQP8_Homeobox_protein_XHOX_3_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Atene","HOX","Atene_A0A6P8J5A2_Pituitary_homeobox_1_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","HOX","Pdami_A0A3M6TM71_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
"Spist","HOX","Spist_A0A2B4SVZ1_Homeobox_even_skipped_like_protein_1","Stylophora pistillata","Cnidaria","Non_Bilateria"
"Atene","HOX","Atene_A0A6P8HCF1_Homeobox_protein_MSX_2_like","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Nvect","HOX","Nvect_A7RRU5_Homeobox_domain_containing_protein_Fragment","Nematostella vectensis","Cnidaria","Non_Bilateria"
"Ediap","HOX","Ediap_A0A913Y9X1_Homeobox_domain_containing_protein","Exaiptasia diaphana","Cnidaria","Non_Bilateria"
"Atene","HOX","Atene_A0A6P8HBY4_H2_0_like_homeobox_protein","Actinia tenebrosa","Cnidaria","Non_Bilateria"
"Pdami","HOX","Pdami_A0A3M6TJX6_Homeobox_domain_containing_protein","Pocillopora damicornis","Cnidaria","Non_Bilateria"
